created_at,tweet_favorite_count,tweet_id,tweet_retweet_count,tweet_text,user_tweet_count,user_follower_count,user_following_count
15/9/16 12:00,0,7.76E+17,0,All the fizz with none of the sugar. Coca-Cola Zero Sugar is on offer right now. https://t.co/SthU7UoAV1 #TasteTheFeeling,4573,3961,3566
15/9/16 11:59,0,7.76E+17,0,Enjoying a cold coke  #TasteTheFeeling https://t.co/HAqogf0CoH,10058,674,357
15/9/16 11:43,0,7.76E+17,0,"@sarahsomba I see you, hapo sawa_ÙÔÎ#TasteTheFeeling #Goteana https://t.co/RypGuD2Sy2",571,220,419
15/9/16 10:59,0,7.76E+17,11,RT @CocaColaPH: @BaiLona_Pexers Thanks for supporting Bailey for COKE! #TasteTheFeeling of refreshment while playing video games with your‰Û_,12347,158,78
15/9/16 10:48,0,7.76E+17,11,RT @CocaColaPH: @BaiLona_Pexers Thanks for supporting Bailey for COKE! #TasteTheFeeling of refreshment while playing video games with your‰Û_,14039,4675,71
15/9/16 10:33,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,10661,269,238
15/9/16 10:13,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,25575,125,142
15/9/16 9:52,0,7.76E+17,88,RT @Cocacola_GH: Measuring your glass with a friend‰Ûªs to make sure you had your fair share of Coke. Lol #TastetheFeeling https://t.co/UV1OB‰Û_,2463,228,250
15/9/16 9:31,0,7.76E+17,5,"RT @HealthyFA: Movie ideas for Coke's #TasteTheFeeling campaign to push sugar water? Us: Invasion of the Body Snatchers https://t.co/rNKA2‰Û_",3529,312,971
15/9/16 8:32,0,7.76E+17,0,"Video Games, with Coke &amp; Salad —_ÂÒ #TasteTheFeeling https://t.co/Ppl09OwMQi",6096,328,165
15/9/16 8:21,1,7.76E+17,0,@AkoPoSiGavin @Jixseesaaww #TasteTheFeeling of comfort when you eat your next meal w/ a COCA-COLA! Watch for more - https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:19,0,7.76E+17,0,@Vonwich @nataljaesteban #TasteTheFeeling of comfort when you eat your next meal w/ a COCA-COLA! Watch for more - https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:17,0,7.76E+17,0,"@sacdalancha Pair that with a tall glass of ice-cold COKE! Watch this clip, &amp; see what we mean. https://t.co/rBhOZPGVhD #TasteTheFeeling",56373,71983,18733
15/9/16 8:16,1,7.76E+17,0,@XyzaPaola @meansanpedro @pinkfatpiggy #TasteTheFeeling of refreshment w/ COKE on your next food trip Watch for more-https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:14,2,7.76E+17,0,@janeeymeg @fluffyfedee @JHAkang #TasteTheFeeling of refreshment w/ COKE on your next food trip. Watch for more - https://t.co/rBhOZPGVhD,56373,71983,18733
