"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Join our online support group to talk in a safe place with people who understand #domesticabuse #SODA #support #EarlyRisersClub #RT",FALSE,0,NA,2016-09-29 15:32:01,FALSE,NA,"781516890770374656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SODANationWide",2,FALSE,FALSE,NA,NA
"Special!! Buy one 6 pack #soda for  $4.99 Get another half off!!! Only @ValueDollar #party's #drinks https://t.co/yFRhV0rMmt",FALSE,0,NA,2016-09-29 15:24:02,FALSE,NA,"781514884085264388",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ValueDollar",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 15:16:31,FALSE,NA,"781512991422320640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","simmonschiro73",89,TRUE,FALSE,NA,NA
"<U+2660><U+273F> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/G2RSIAIR2B",FALSE,0,NA,2016-09-29 15:14:13,FALSE,NA,"781512413560668161",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"RT @borsacibaba: #SODA #BB  YATAY KANAL IÇINDE HAREKET EDIYOR UZUN ZAMANDIR. https://t.co/q7U7zmOP84",FALSE,0,NA,2016-09-29 14:50:19,FALSE,NA,"781506397183873024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hk0571",9,TRUE,FALSE,NA,NA
"RT @borsacibaba: @borsacibaba #SODA #BB DARBE SONRASINDAKI DÜSÜSTOPARLANMIS.TEKRAR KANAL IÇINE GIRMIS. https://t.co/5LI6onKffu",FALSE,0,NA,2016-09-29 14:50:15,FALSE,NA,"781506382617083904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hk0571",7,TRUE,FALSE,NA,NA
"RT @1990_kei_0622: <U+5C71><U+7530><U+3055><U+3093><U+3046><U+308B><U+3058><U+3083><U+3093><U+3042><U+308A><U+304C><U+3068><U+3046><U+301C><U+301C>

<U+6700><U+5F8C><U+306E><U+572D><U+4EBA><U+3068><U+306E><U+96FB><U+8A71><U+306F><U+307B><U+3093><U+3068><U+306B><U+826F><U+304B><U+3063><U+305F><U+3067><U+3059><U+3002><U+672C><U+5F53><U+306B><U+3084><U+307E><U+3051><U+3068><U+597D><U+304D><U+306E><U+79C1><U+3068><U+3057><U+3066><U+306F><U+307B><U+3093><U+3068><U+306B><U+3059><U+3054><U+304F><U+5E78><U+305B><U+3067><U+3057><U+305F><U+3002>
<U+30D7><U+30E9><U+30D9><U+611F><U+6E80><U+8F09><U+3042><U+308A><U+304C><U+3068><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+3002>

(<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>)<U+6700><U+8FD1><U+306E><U+7F8E><U+3057><U+3059><U+304E><U+308B><U+5C71><U+7530><U+3055><U+3093><U+8F09><U+305B><U+3068><U+304F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1>
#SODA 
#Han…",FALSE,0,NA,2016-09-29 14:41:38,FALSE,NA,"781504213012447232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hsjars05090617",1,TRUE,FALSE,NA,NA
"<U+5C71><U+7530><U+3055><U+3093><U+3046><U+308B><U+3058><U+3083><U+3093><U+3042><U+308A><U+304C><U+3068><U+3046><U+301C><U+301C>

<U+6700><U+5F8C><U+306E><U+572D><U+4EBA><U+3068><U+306E><U+96FB><U+8A71><U+306F><U+307B><U+3093><U+3068><U+306B><U+826F><U+304B><U+3063><U+305F><U+3067><U+3059><U+3002><U+672C><U+5F53><U+306B><U+3084><U+307E><U+3051><U+3068><U+597D><U+304D><U+306E><U+79C1><U+3068><U+3057><U+3066><U+306F><U+307B><U+3093><U+3068><U+306B><U+3059><U+3054><U+304F><U+5E78><U+305B><U+3067><U+3057><U+305F><U+3002>
<U+30D7><U+30E9><U+30D9><U+611F><U+6E80><U+8F09><U+3042><U+308A><U+304C><U+3068><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+3002>

(<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>)<U+6700><U+8FD1><U+306E><U+7F8E><U+3057><U+3059><U+304E><U+308B><U+5C71><U+7530><U+3055><U+3093><U+8F09><U+305B><U+3068><U+304F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1>
#SODA… https://t.co/wZoxt1qg8A",FALSE,6,NA,2016-09-29 14:40:16,TRUE,NA,"781503868215578624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1990_kei_0622",1,FALSE,FALSE,NA,NA
"#Soda PDF Professional with OCR 2012 v 2.1.130.5818 Final https://t.co/4fUQltfvjy",FALSE,0,NA,2016-09-29 14:27:08,FALSE,NA,"781500564387598336",NA,"<a href=""http://fastindex3.ru"" rel=""nofollow"">referred to Twitter’s Guidelines</a>","epmebvuc2009",0,FALSE,FALSE,NA,NA
"RT @SODANationWide: Who are we? #SODA was set up by survivor @Sammieb1980 who wanted to reduce isolation so set up and online support group…",FALSE,0,NA,2016-09-29 14:25:35,FALSE,NA,"781500174061473793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EyeballFlipps",6,TRUE,FALSE,NA,NA
